n_susceptible,n_exposed,n_infectious,n_diagnosed,n_recovered,n_dead
999800.0,200.0,0.0,0.0,0.0,0.0
999800.0,200.0,0.0,0.0,0.0,0.0
999800.0,201.0,3.0,0.0,0.0,0.0
999782.0,219.0,46.0,3.0,0.0,0.0
999734.0,267.0,107.0,9.0,0.0,0.0
999658.0,343.0,160.0,21.0,0.0,0.0
999573.0,428.0,191.0,35.0,0.0,0.0
999497.0,503.0,218.0,52.0,1.0,0.0
999424.0,574.0,260.0,71.0,3.0,0.0
999340.0,650.0,308.0,92.0,11.0,0.0
999234.0,740.0,364.0,116.0,28.0,0.0
999113.0,837.0,415.0,145.0,51.0,0.0
998978.0,943.0,464.0,177.0,81.0,0.0
998842.0,1047.0,515.0,210.0,113.0,0.0
998679.0,1171.0,577.0,248.0,152.0,0.0
998497.0,1316.0,652.0,294.0,189.0,0.0
998288.0,1480.0,736.0,345.0,233.0,0.0
998055.0,1670.0,825.0,401.0,276.0,0.0
997802.0,1865.0,926.0,463.0,334.0,0.0
997515.0,2092.0,1040.0,531.0,395.0,0.0
997181.0,2350.0,1168.0,606.0,470.0,1.0
996805.0,2642.0,1300.0,693.0,554.0,1.0
996403.0,2953.0,1446.0,790.0,646.0,1.0
995957.0,3295.0,1619.0,900.0,749.0,1.0
995463.0,3677.0,1835.0,1022.0,861.0,1.0
994900.0,4115.0,2061.0,1159.0,986.0,1.0
994259.0,4616.0,2307.0,1318.0,1129.0,1.0
993516.0,5201.0,2576.0,1492.0,1287.0,1.0
992665.0,5874.0,2875.0,1686.0,1454.0,2.0
991709.0,6631.0,3238.0,1893.0,1647.0,2.0
990660.0,7455.0,3623.0,2131.0,1872.0,2.0
989445.0,8418.0,4099.0,2415.0,2122.0,3.0
988088.0,9497.0,4633.0,2719.0,2399.0,4.0
986582.0,10669.0,5209.0,3158.0,2733.0,4.0
985023.0,11874.0,5848.0,3652.0,3095.0,5.0
983364.0,13133.0,6593.0,4322.0,3476.0,6.0
981630.0,14421.0,7429.0,5031.0,3914.0,6.0
979862.0,15699.0,8380.0,5895.0,4413.0,8.0
977985.0,17030.0,9363.0,6820.0,4957.0,9.0
976063.0,18311.0,10265.0,7837.0,5619.0,11.0
974202.0,19443.0,11233.0,8924.0,6362.0,13.0
972319.0,20498.0,12162.0,10083.0,7203.0,12.0
970409.0,21466.0,12953.0,11299.0,8165.0,13.0
968517.0,22336.0,13765.0,12546.0,9195.0,14.0
966699.0,23019.0,14543.0,13885.0,10313.0,18.0
964753.0,23688.0,15153.0,15187.0,11600.0,21.0
962869.0,24226.0,15734.0,16496.0,12931.0,22.0
960808.0,24839.0,16177.0,17807.0,14345.0,27.0
958894.0,25257.0,16586.0,19105.0,15854.0,28.0
956971.0,25632.0,16946.0,20393.0,17386.0,31.0
955068.0,25906.0,17258.0,21764.0,19064.0,29.0
953098.0,26169.0,17470.0,23109.0,20762.0,33.0
951125.0,26429.0,17645.0,24445.0,22468.0,39.0
949172.0,26607.0,17811.0,25734.0,24253.0,50.0
947140.0,26784.0,17949.0,27022.0,26132.0,54.0
945110.0,26972.0,18030.0,28248.0,27976.0,57.0
943093.0,27145.0,18216.0,29576.0,29811.0,66.0
940964.0,27499.0,18370.0,30845.0,31580.0,72.0
938868.0,27684.0,18326.0,32117.0,33488.0,75.0
936776.0,27847.0,18427.0,33412.0,35412.0,80.0
934549.0,28283.0,18701.0,34696.0,37196.0,87.0
932347.0,28534.0,18846.0,36002.0,39133.0,101.0
930075.0,28900.0,19002.0,37346.0,41033.0,107.0
927821.0,29315.0,19321.0,38644.0,42868.0,111.0
925490.0,29784.0,19662.0,39985.0,44716.0,125.0
923027.0,30314.0,19961.0,41301.0,46639.0,135.0
920575.0,30802.0,20208.0,42660.0,48583.0,155.0
918070.0,31322.0,20465.0,44037.0,50557.0,166.0
915589.0,31782.0,20752.0,45467.0,52568.0,176.0
913068.0,32232.0,21107.0,46827.0,54625.0,190.0
910573.0,32694.0,21454.0,48237.0,56650.0,198.0
907968.0,33183.0,21844.0,49621.0,58754.0,210.0
905273.0,33691.0,22209.0,51097.0,60937.0,214.0
902555.0,34226.0,22540.0,52649.0,63109.0,225.0
899827.0,34789.0,22921.0,54216.0,65260.0,239.0
897092.0,35279.0,23238.0,55764.0,67497.0,247.0
894359.0,35742.0,23587.0,57318.0,69758.0,256.0
891649.0,36141.0,23958.0,58964.0,72056.0,269.0
888872.0,36475.0,24152.0,60602.0,74479.0,289.0
886131.0,36894.0,24578.0,62213.0,76789.0,301.0
883302.0,37282.0,24932.0,63913.0,79216.0,315.0
880665.0,37409.0,25124.0,65586.0,81713.0,328.0
877931.0,37648.0,25395.0,67232.0,84191.0,345.0
875209.0,37849.0,25584.0,68902.0,86693.0,364.0
872484.0,37986.0,25715.0,70594.0,89273.0,372.0
869843.0,38076.0,25808.0,72297.0,91809.0,387.0
867268.0,37968.0,25906.0,73941.0,94480.0,399.0
864556.0,37971.0,25900.0,75589.0,97173.0,415.0
861869.0,37978.0,25949.0,77238.0,99840.0,428.0
859280.0,37893.0,25965.0,78898.0,102504.0,438.0
856740.0,37790.0,25999.0,80576.0,105135.0,450.0
854249.0,37578.0,25892.0,82157.0,107827.0,461.0
851780.0,37387.0,25952.0,83749.0,110478.0,470.0
849150.0,37338.0,25900.0,85339.0,113149.0,478.0
846548.0,37212.0,25713.0,86976.0,115862.0,493.0
844077.0,36959.0,25558.0,88498.0,118569.0,510.0
841651.0,36653.0,25309.0,90086.0,121287.0,524.0
839260.0,36327.0,25152.0,91646.0,123986.0,542.0
836788.0,36159.0,25107.0,93135.0,126618.0,550.0
834343.0,35967.0,24864.0,94655.0,129241.0,564.0
831868.0,35823.0,24718.0,96119.0,131851.0,573.0
829537.0,35571.0,24650.0,97722.0,134418.0,589.0
827108.0,35380.0,24533.0,99175.0,137024.0,603.0
824658.0,35261.0,24369.0,100695.0,139579.0,617.0
822327.0,35039.0,24263.0,102144.0,142120.0,629.0
819927.0,34840.0,24087.0,103613.0,144703.0,645.0
817632.0,34636.0,23962.0,105081.0,147190.0,657.0
815336.0,34387.0,23797.0,106507.0,149716.0,676.0
812956.0,34244.0,23714.0,107861.0,152224.0,691.0
810659.0,34023.0,23574.0,109267.0,154725.0,708.0
808460.0,33738.0,23419.0,110695.0,157190.0,727.0
806112.0,33612.0,23292.0,112157.0,159650.0,741.0
803776.0,33527.0,23268.0,113505.0,162056.0,756.0
801443.0,33435.0,23092.0,114964.0,164468.0,769.0
799129.0,33330.0,22949.0,116319.0,166882.0,774.0
796801.0,33231.0,22801.0,117724.0,169297.0,786.0
794647.0,32948.0,22615.0,119032.0,171720.0,800.0
792506.0,32678.0,22508.0,120369.0,174119.0,812.0
790212.0,32656.0,22551.0,121672.0,176423.0,824.0
788010.0,32551.0,22513.0,123045.0,178711.0,843.0
785761.0,32505.0,22425.0,124393.0,180996.0,853.0
783586.0,32275.0,22273.0,125733.0,183382.0,872.0
781446.0,32048.0,22182.0,127044.0,185743.0,878.0
779392.0,31823.0,22119.0,128330.0,188004.0,896.0
777312.0,31643.0,22091.0,129603.0,190248.0,912.0
775266.0,31393.0,21926.0,130933.0,192529.0,927.0
773180.0,31216.0,21882.0,132199.0,194778.0,941.0
771042.0,30993.0,21602.0,133469.0,197125.0,955.0
768990.0,30665.0,21235.0,134738.0,199483.0,977.0
767028.0,30465.0,21107.0,135995.0,201632.0,990.0
764948.0,30273.0,20998.0,137240.0,203888.0,1006.0
762974.0,29956.0,20751.0,138445.0,206165.0,1020.0
760958.0,29722.0,20545.0,139647.0,208399.0,1036.0
758931.0,29544.0,20423.0,140763.0,210591.0,1049.0
756887.0,29396.0,20285.0,142006.0,212776.0,1056.0
754844.0,29287.0,20174.0,143206.0,214922.0,1062.0
752882.0,29192.0,20141.0,144364.0,216964.0,1077.0
750934.0,29091.0,20087.0,145581.0,219002.0,1088.0
749005.0,28922.0,20043.0,146745.0,221088.0,1100.0
747116.0,28781.0,20051.0,147923.0,223109.0,1109.0
745213.0,28601.0,19960.0,149125.0,225179.0,1122.0
743439.0,28261.0,19821.0,150302.0,227285.0,1130.0
741644.0,27943.0,19647.0,151458.0,229381.0,1147.0
739814.0,27733.0,19466.0,152612.0,231407.0,1161.0
738050.0,27465.0,19298.0,153816.0,233429.0,1171.0
736290.0,27148.0,19018.0,154937.0,235493.0,1184.0
734577.0,26872.0,18929.0,156049.0,237466.0,1200.0
732852.0,26540.0,18708.0,157138.0,239508.0,1215.0
731128.0,26285.0,18487.0,158269.0,241480.0,1222.0
729399.0,26024.0,18256.0,159309.0,243453.0,1239.0
727705.0,25803.0,18049.0,160330.0,245354.0,1253.0
726103.0,25458.0,17842.0,161390.0,247290.0,1264.0
724485.0,25133.0,17633.0,162389.0,249220.0,1277.0
722888.0,24823.0,17473.0,163418.0,251118.0,1286.0
