n_susceptible,n_exposed,n_infectious,n_diagnosed,n_recovered,n_dead
99980.0,20.0,0.0,0.0,0.0,0.0
99980.0,20.0,0.0,0.0,0.0,0.0
99980.0,20.0,0.0,0.0,0.0,0.0
99977.0,24.0,7.0,1.0,0.0,0.0
99970.0,31.0,14.0,1.0,0.0,0.0
99966.0,35.0,18.0,3.0,0.0,0.0
99960.0,40.0,22.0,6.0,0.0,0.0
99956.0,44.0,24.0,7.0,0.0,0.0
99950.0,51.0,28.0,8.0,0.0,0.0
99941.0,59.0,33.0,10.0,1.0,0.0
99933.0,65.0,35.0,12.0,3.0,0.0
99924.0,70.0,36.0,14.0,7.0,0.0
99914.0,75.0,37.0,17.0,12.0,0.0
99902.0,85.0,42.0,19.0,14.0,0.0
99888.0,95.0,47.0,22.0,18.0,0.0
99876.0,101.0,50.0,26.0,24.0,0.0
99858.0,117.0,58.0,30.0,27.0,0.0
99841.0,129.0,64.0,34.0,31.0,0.0
99822.0,143.0,70.0,39.0,36.0,0.0
99800.0,160.0,78.0,44.0,41.0,0.0
99774.0,180.0,88.0,50.0,47.0,0.0
99743.0,206.0,99.0,57.0,52.0,0.0
99711.0,230.0,111.0,63.0,60.0,0.0
99673.0,262.0,126.0,72.0,67.0,0.0
99634.0,292.0,142.0,83.0,75.0,0.0
99591.0,324.0,158.0,93.0,87.0,0.0
99538.0,368.0,182.0,104.0,95.0,1.0
99480.0,412.0,206.0,117.0,109.0,1.0
99414.0,466.0,231.0,134.0,122.0,1.0
99343.0,521.0,259.0,152.0,137.0,1.0
99260.0,588.0,291.0,173.0,153.0,1.0
99166.0,662.0,327.0,195.0,173.0,1.0
99070.0,737.0,366.0,220.0,194.0,1.0
98960.0,821.0,409.0,252.0,220.0,1.0
98834.0,919.0,458.0,291.0,248.0,1.0
98699.0,1022.0,510.0,339.0,280.0,1.0
98557.0,1127.0,575.0,389.0,317.0,1.0
98404.0,1240.0,643.0,449.0,357.0,1.0
98253.0,1344.0,708.0,517.0,405.0,1.0
98091.0,1457.0,792.0,591.0,453.0,1.0
97924.0,1570.0,876.0,674.0,507.0,1.0
97743.0,1688.0,963.0,761.0,569.0,1.0
97553.0,1809.0,1039.0,866.0,638.0,2.0
97351.0,1929.0,1113.0,964.0,719.0,2.0
97143.0,2049.0,1197.0,1070.0,808.0,2.0
96937.0,2162.0,1276.0,1178.0,901.0,2.0
96715.0,2278.0,1354.0,1295.0,1007.0,2.0
96492.0,2387.0,1436.0,1421.0,1121.0,2.0
96258.0,2500.0,1515.0,1557.0,1242.0,2.0
96020.0,2602.0,1592.0,1694.0,1378.0,3.0
95771.0,2714.0,1668.0,1832.0,1514.0,3.0
95518.0,2817.0,1743.0,1981.0,1664.0,3.0
95264.0,2916.0,1812.0,2132.0,1818.0,3.0
95009.0,3011.0,1893.0,2287.0,1977.0,4.0
94752.0,3097.0,1962.0,2448.0,2149.0,5.0
94497.0,3167.0,2021.0,2625.0,2332.0,6.0
94246.0,3230.0,2087.0,2798.0,2519.0,7.0
93981.0,3298.0,2147.0,2973.0,2715.0,8.0
93719.0,3361.0,2200.0,3145.0,2913.0,8.0
93455.0,3420.0,2244.0,3319.0,3118.0,9.0
93198.0,3465.0,2285.0,3493.0,3329.0,10.0
92940.0,3496.0,2321.0,3665.0,3555.0,10.0
92674.0,3536.0,2362.0,3842.0,3780.0,11.0
92408.0,3565.0,2392.0,4019.0,4016.0,12.0
92150.0,3585.0,2414.0,4196.0,4254.0,13.0
91891.0,3604.0,2437.0,4375.0,4492.0,14.0
91631.0,3613.0,2451.0,4557.0,4742.0,16.0
91375.0,3616.0,2458.0,4738.0,4995.0,16.0
91125.0,3621.0,2467.0,4923.0,5239.0,17.0
90874.0,3619.0,2470.0,5093.0,5490.0,19.0
90640.0,3602.0,2478.0,5270.0,5740.0,20.0
90392.0,3581.0,2471.0,5438.0,6008.0,21.0
90146.0,3562.0,2453.0,5606.0,6271.0,23.0
89895.0,3554.0,2446.0,5767.0,6529.0,24.0
89662.0,3529.0,2440.0,5937.0,6786.0,26.0
89418.0,3519.0,2431.0,6104.0,7038.0,26.0
89175.0,3507.0,2420.0,6269.0,7292.0,28.0
88940.0,3490.0,2409.0,6431.0,7543.0,29.0
88702.0,3471.0,2396.0,6586.0,7799.0,30.0
88467.0,3457.0,2392.0,6746.0,8048.0,30.0
88236.0,3435.0,2375.0,6902.0,8299.0,32.0
88002.0,3419.0,2353.0,7053.0,8548.0,34.0
87774.0,3395.0,2347.0,7200.0,8798.0,35.0
87544.0,3376.0,2337.0,7349.0,9046.0,36.0
87308.0,3368.0,2329.0,7500.0,9289.0,37.0
87084.0,3350.0,2313.0,7639.0,9530.0,38.0
86853.0,3331.0,2293.0,7789.0,9778.0,39.0
86631.0,3326.0,2293.0,7932.0,10004.0,40.0
86398.0,3318.0,2288.0,8075.0,10243.0,42.0
86172.0,3304.0,2284.0,8225.0,10482.0,44.0
85937.0,3296.0,2271.0,8369.0,10723.0,45.0
85717.0,3274.0,2259.0,8514.0,10964.0,47.0
85485.0,3267.0,2246.0,8648.0,11201.0,48.0
85268.0,3258.0,2244.0,8787.0,11426.0,50.0
85045.0,3245.0,2225.0,8932.0,11660.0,51.0
84820.0,3238.0,2226.0,9065.0,11892.0,52.0
84591.0,3235.0,2226.0,9201.0,12122.0,54.0
84362.0,3228.0,2210.0,9328.0,12357.0,55.0
84133.0,3227.0,2204.0,9468.0,12585.0,56.0
83909.0,3216.0,2193.0,9603.0,12820.0,57.0
83672.0,3222.0,2194.0,9734.0,13050.0,59.0
83439.0,3225.0,2186.0,9872.0,13278.0,60.0
83217.0,3217.0,2188.0,10006.0,13507.0,61.0
82998.0,3205.0,2190.0,10142.0,13736.0,62.0
82777.0,3202.0,2196.0,10279.0,13959.0,63.0
82554.0,3200.0,2195.0,10411.0,14183.0,65.0
82324.0,3206.0,2199.0,10541.0,14406.0,67.0
82100.0,3201.0,2187.0,10681.0,14633.0,68.0
81872.0,3202.0,2181.0,10813.0,14858.0,70.0
81647.0,3194.0,2179.0,10945.0,15089.0,72.0
81421.0,3194.0,2180.0,11084.0,15313.0,74.0
81197.0,3193.0,2177.0,11212.0,15538.0,75.0
80983.0,3183.0,2179.0,11352.0,15761.0,76.0
80758.0,3181.0,2174.0,11487.0,15986.0,77.0
80535.0,3179.0,2178.0,11615.0,16209.0,79.0
80320.0,3174.0,2180.0,11748.0,16428.0,81.0
80091.0,3179.0,2177.0,11877.0,16650.0,81.0
