n_susceptible,n_exposed,n_infectious,n_diagnosed,n_recovered,n_dead
99980.0,20.0,0.0,0.0,0.0,0.0
99980.0,20.0,0.0,0.0,0.0,0.0
99980.0,20.0,0.0,0.0,0.0,0.0
99974.0,19.0,6.0,1.0,0.0,0.0
99965.0,22.0,12.0,2.0,0.0,0.0
99956.0,26.0,15.0,4.0,0.0,0.0
99946.0,32.0,17.0,6.0,0.0,0.0
99935.0,39.0,20.0,7.0,0.0,0.0
99918.0,49.0,25.0,9.0,0.0,0.0
99895.0,63.0,30.0,12.0,1.0,0.0
99869.0,81.0,35.0,13.0,3.0,0.0
99837.0,101.0,41.0,15.0,8.0,0.0
99798.0,123.0,52.0,16.0,12.0,0.0
99746.0,155.0,64.0,21.0,16.0,0.0
99676.0,199.0,78.0,27.0,21.0,0.0
99600.0,243.0,99.0,31.0,28.0,0.0
99505.0,300.0,123.0,40.0,33.0,0.0
99389.0,367.0,155.0,51.0,40.0,0.0
99237.0,460.0,193.0,65.0,47.0,0.0
99035.0,587.0,239.0,83.0,57.0,0.0
98795.0,740.0,292.0,103.0,72.0,0.0
98501.0,918.0,362.0,130.0,91.0,0.0
98145.0,1130.0,451.0,162.0,114.0,0.0
97713.0,1383.0,561.0,203.0,142.0,0.0
97171.0,1693.0,705.0,258.0,175.0,0.0
96516.0,2072.0,871.0,321.0,221.0,0.0
95727.0,2535.0,1070.0,396.0,273.0,0.0
94789.0,3059.0,1315.0,498.0,341.0,0.0
93613.0,3729.0,1617.0,619.0,423.0,1.0
92150.0,4566.0,2003.0,758.0,524.0,1.0
90429.0,5543.0,2450.0,923.0,656.0,1.0
88428.0,6659.0,2963.0,1136.0,815.0,1.0
86185.0,7793.0,3566.0,1443.0,1015.0,1.0
83652.0,8965.0,4276.0,1850.0,1258.0,1.0
80841.0,10166.0,5067.0,2369.0,1558.0,2.0
77731.0,11413.0,5973.0,2952.0,1931.0,2.0
74400.0,12636.0,6983.0,3594.0,2387.0,3.0
70777.0,13847.0,8171.0,4269.0,2934.0,3.0
66953.0,14981.0,9459.0,5000.0,3606.0,3.0
62975.0,16017.0,10849.0,5749.0,4407.0,4.0
58885.0,16893.0,12297.0,6506.0,5416.0,5.0
54747.0,17577.0,13730.0,7365.0,6576.0,6.0
50672.0,17992.0,15138.0,8228.0,7964.0,8.0
46742.0,18057.0,16527.0,9078.0,9588.0,10.0
42987.0,17822.0,17786.0,9955.0,11440.0,12.0
39516.0,17252.0,18858.0,10816.0,13544.0,15.0
36347.0,16410.0,19696.0,11625.0,15906.0,18.0
33464.0,15357.0,20264.0,12394.0,18501.0,22.0
30888.0,14166.0,20560.0,13003.0,21360.0,26.0
28605.0,12907.0,20481.0,13495.0,24483.0,31.0
26603.0,11615.0,20133.0,13845.0,27770.0,36.0
24875.0,10340.0,19498.0,14021.0,31224.0,44.0
23397.0,9116.0,18579.0,14037.0,34819.0,53.0
22108.0,7974.0,17476.0,13853.0,38528.0,62.0
21048.0,6860.0,16242.0,13531.0,42250.0,71.0
20141.0,5888.0,14918.0,13046.0,45926.0,82.0
19381.0,5020.0,13547.0,12433.0,49527.0,93.0
18728.0,4260.0,12186.0,11734.0,52988.0,105.0
18174.0,3614.0,10847.0,10993.0,56255.0,118.0
17702.0,3064.0,9575.0,10220.0,59307.0,133.0
17302.0,2592.0,8382.0,9429.0,62145.0,152.0
16973.0,2191.0,7300.0,8633.0,64736.0,169.0
16695.0,1855.0,6322.0,7878.0,67067.0,185.0
16456.0,1563.0,5438.0,7137.0,69207.0,201.0
16252.0,1324.0,4645.0,6492.0,71070.0,219.0
16077.0,1122.0,3955.0,5891.0,72722.0,236.0
15931.0,949.0,3373.0,5314.0,74183.0,252.0
15812.0,803.0,2852.0,4787.0,75478.0,270.0
15702.0,687.0,2414.0,4323.0,76589.0,286.0
15613.0,584.0,2053.0,3891.0,77558.0,302.0
15539.0,496.0,1726.0,3520.0,78402.0,319.0
15472.0,425.0,1465.0,3162.0,79144.0,334.0
15417.0,361.0,1238.0,2849.0,79787.0,350.0
15368.0,314.0,1045.0,2557.0,80356.0,362.0
15321.0,270.0,892.0,2290.0,80853.0,376.0
15280.0,239.0,759.0,2058.0,81279.0,387.0
15244.0,207.0,652.0,1835.0,81666.0,398.0
15211.0,186.0,556.0,1648.0,81993.0,407.0
15182.0,167.0,474.0,1483.0,82279.0,417.0
15159.0,145.0,412.0,1322.0,82540.0,424.0
15136.0,132.0,353.0,1180.0,82771.0,430.0
15118.0,115.0,310.0,1052.0,82970.0,437.0
15100.0,101.0,271.0,935.0,83151.0,444.0
15083.0,89.0,240.0,828.0,83312.0,449.0
15070.0,77.0,213.0,732.0,83456.0,454.0
15056.0,70.0,187.0,650.0,83579.0,459.0
15045.0,65.0,162.0,576.0,83690.0,463.0
15037.0,56.0,146.0,510.0,83787.0,466.0
15030.0,47.0,133.0,451.0,83871.0,469.0
15023.0,42.0,115.0,403.0,83948.0,471.0
15015.0,40.0,101.0,355.0,84018.0,474.0
15008.0,36.0,87.0,314.0,84082.0,475.0
15004.0,31.0,78.0,279.0,84133.0,477.0
14999.0,28.0,70.0,247.0,84179.0,479.0
14994.0,25.0,62.0,220.0,84220.0,479.0
14990.0,23.0,56.0,193.0,84259.0,481.0
14987.0,20.0,50.0,167.0,84297.0,482.0
14985.0,17.0,45.0,147.0,84325.0,482.0
14983.0,14.0,41.0,129.0,84352.0,483.0
14981.0,11.0,36.0,116.0,84374.0,483.0
14979.0,10.0,31.0,104.0,84394.0,484.0
14977.0,10.0,27.0,93.0,84411.0,484.0
14976.0,8.0,23.0,83.0,84427.0,484.0
14975.0,8.0,21.0,72.0,84442.0,484.0
14973.0,7.0,18.0,65.0,84454.0,485.0
14972.0,5.0,15.0,57.0,84467.0,485.0
14972.0,5.0,12.0,50.0,84477.0,486.0
14971.0,4.0,11.0,44.0,84485.0,486.0
14971.0,3.0,10.0,39.0,84493.0,486.0
14970.0,3.0,9.0,35.0,84499.0,486.0
14970.0,3.0,7.0,31.0,84505.0,486.0
14969.0,3.0,7.0,27.0,84510.0,486.0
14968.0,3.0,6.0,25.0,84513.0,487.0
14968.0,3.0,5.0,23.0,84517.0,487.0
14968.0,2.0,4.0,21.0,84520.0,487.0
14968.0,2.0,4.0,19.0,84523.0,487.0
14967.0,2.0,3.0,17.0,84525.0,487.0
14967.0,2.0,3.0,14.0,84529.0,487.0
14967.0,1.0,3.0,13.0,84531.0,487.0
14967.0,1.0,3.0,11.0,84533.0,487.0
