n_susceptible,n_exposed,n_infectious,n_diagnosed,n_recovered,n_dead
99980.0,20.0,0.0,0.0,0.0,0.0
99980.0,20.0,0.0,0.0,0.0,0.0
99980.0,20.0,0.0,0.0,0.0,0.0
99974.0,19.0,6.0,1.0,0.0,0.0
99965.0,22.0,12.0,2.0,0.0,0.0
99956.0,26.0,15.0,4.0,0.0,0.0
99946.0,32.0,17.0,6.0,0.0,0.0
99935.0,39.0,20.0,7.0,0.0,0.0
99918.0,49.0,25.0,9.0,0.0,0.0
99895.0,63.0,30.0,12.0,1.0,0.0
99869.0,81.0,35.0,13.0,3.0,0.0
99837.0,101.0,41.0,15.0,8.0,0.0
99798.0,123.0,52.0,16.0,12.0,0.0
99746.0,155.0,64.0,21.0,16.0,0.0
99676.0,199.0,78.0,27.0,21.0,0.0
99600.0,243.0,99.0,31.0,28.0,0.0
99505.0,300.0,123.0,40.0,33.0,0.0
99389.0,367.0,155.0,51.0,40.0,0.0
99237.0,460.0,193.0,65.0,47.0,0.0
99035.0,587.0,239.0,83.0,57.0,0.0
98795.0,740.0,292.0,103.0,72.0,0.0
98501.0,918.0,362.0,130.0,91.0,0.0
98145.0,1130.0,451.0,162.0,114.0,0.0
97713.0,1383.0,561.0,203.0,142.0,0.0
97171.0,1693.0,705.0,258.0,175.0,0.0
96516.0,2072.0,871.0,321.0,221.0,0.0
95727.0,2535.0,1070.0,396.0,273.0,0.0
94789.0,3059.0,1315.0,498.0,341.0,0.0
93613.0,3729.0,1617.0,619.0,423.0,1.0
92150.0,4566.0,2003.0,758.0,524.0,1.0
90429.0,5543.0,2450.0,923.0,656.0,1.0
88402.0,6685.0,2963.0,1136.0,815.0,1.0
86048.0,7930.0,3619.0,1390.0,1015.0,1.0
83282.0,9331.0,4403.0,1726.0,1258.0,1.0
80280.0,10724.0,5298.0,2140.0,1558.0,2.0
77117.0,11988.0,6069.0,2895.0,1931.0,2.0
73883.0,12979.0,6964.0,3787.0,2387.0,3.0
70642.0,13676.0,7825.0,4921.0,2935.0,3.0
67599.0,13910.0,8696.0,6187.0,3607.0,3.0
64839.0,13688.0,9266.0,7803.0,4402.0,4.0
62385.0,13030.0,9758.0,9423.0,5401.0,5.0
60299.0,11993.0,10017.0,11107.0,6580.0,6.0
58536.0,10759.0,10122.0,12594.0,7983.0,8.0
57082.0,9394.0,9992.0,13869.0,9655.0,10.0
55862.0,8052.0,9783.0,14684.0,11609.0,12.0
54824.0,6872.0,9426.0,15080.0,13785.0,15.0
53946.0,5807.0,9054.0,15005.0,16171.0,18.0
53205.0,4891.0,8587.0,14560.0,18737.0,22.0
52543.0,4174.0,8044.0,13779.0,21435.0,26.0
51992.0,3561.0,7415.0,12785.0,24217.0,31.0
51507.0,3050.0,6815.0,11653.0,26939.0,37.0
51081.0,2631.0,6221.0,10430.0,29596.0,43.0
50720.0,2271.0,5607.0,9258.0,32093.0,53.0
50392.0,1989.0,5003.0,8194.0,34363.0,61.0
50100.0,1743.0,4438.0,7231.0,36421.0,68.0
49835.0,1541.0,3937.0,6392.0,38219.0,78.0
49585.0,1376.0,3483.0,5674.0,39796.0,88.0
49352.0,1252.0,3058.0,5056.0,41184.0,100.0
49132.0,1155.0,2697.0,4527.0,42381.0,110.0
48923.0,1075.0,2376.0,4084.0,43422.0,121.0
48717.0,1016.0,2113.0,3680.0,44343.0,132.0
48511.0,982.0,1886.0,3336.0,45142.0,144.0
48304.0,957.0,1708.0,3035.0,45842.0,155.0
48103.0,939.0,1565.0,2778.0,46450.0,166.0
47900.0,927.0,1452.0,2557.0,46989.0,177.0
47681.0,939.0,1361.0,2346.0,47489.0,186.0
47468.0,945.0,1287.0,2173.0,47934.0,195.0
47247.0,955.0,1232.0,2014.0,48349.0,204.0
47029.0,968.0,1197.0,1877.0,48719.0,212.0
46802.0,980.0,1177.0,1763.0,49061.0,218.0
46555.0,1016.0,1164.0,1660.0,49383.0,224.0
46322.0,1032.0,1164.0,1564.0,49689.0,230.0
46083.0,1052.0,1164.0,1482.0,49984.0,236.0
45819.0,1081.0,1190.0,1411.0,50259.0,242.0
45574.0,1097.0,1200.0,1356.0,50526.0,249.0
45311.0,1129.0,1218.0,1304.0,50786.0,254.0
45048.0,1147.0,1239.0,1264.0,51047.0,257.0
44772.0,1177.0,1266.0,1231.0,51294.0,262.0
44499.0,1193.0,1297.0,1198.0,51549.0,265.0
44218.0,1221.0,1313.0,1184.0,51798.0,268.0
43946.0,1228.0,1351.0,1166.0,52040.0,271.0
43659.0,1241.0,1387.0,1146.0,52295.0,273.0
43365.0,1258.0,1426.0,1135.0,52542.0,276.0
43058.0,1293.0,1446.0,1132.0,52795.0,278.0
42763.0,1318.0,1450.0,1135.0,53054.0,281.0
42465.0,1335.0,1479.0,1132.0,53309.0,282.0
42166.0,1342.0,1509.0,1130.0,53571.0,284.0
41863.0,1349.0,1533.0,1132.0,53840.0,285.0
41557.0,1362.0,1548.0,1140.0,54108.0,286.0
41248.0,1371.0,1577.0,1141.0,54378.0,288.0
40953.0,1360.0,1608.0,1151.0,54642.0,288.0
40650.0,1355.0,1630.0,1155.0,54921.0,290.0
40363.0,1343.0,1631.0,1184.0,55189.0,292.0
40074.0,1321.0,1654.0,1196.0,55463.0,293.0
39794.0,1310.0,1646.0,1203.0,55755.0,294.0
39512.0,1294.0,1642.0,1217.0,56041.0,295.0
39237.0,1285.0,1631.0,1222.0,56330.0,297.0
38968.0,1259.0,1630.0,1222.0,56624.0,298.0
38695.0,1245.0,1624.0,1218.0,56921.0,299.0
38437.0,1229.0,1601.0,1215.0,57219.0,301.0
38177.0,1211.0,1586.0,1206.0,57520.0,302.0
37919.0,1193.0,1565.0,1193.0,57827.0,304.0
37678.0,1162.0,1549.0,1184.0,58123.0,305.0
37432.0,1137.0,1538.0,1167.0,58421.0,307.0
37195.0,1114.0,1515.0,1167.0,58703.0,308.0
36959.0,1095.0,1488.0,1154.0,58997.0,310.0
36732.0,1075.0,1457.0,1146.0,59281.0,311.0
36522.0,1046.0,1422.0,1140.0,59559.0,313.0
36303.0,1019.0,1405.0,1120.0,59840.0,314.0
36082.0,998.0,1385.0,1101.0,60120.0,316.0
35877.0,971.0,1357.0,1083.0,60397.0,317.0
35673.0,956.0,1327.0,1065.0,60663.0,319.0
35474.0,930.0,1301.0,1049.0,60928.0,320.0
35283.0,906.0,1279.0,1027.0,61185.0,321.0
35100.0,883.0,1247.0,1015.0,61435.0,323.0
34923.0,854.0,1215.0,997.0,61688.0,324.0
