n_susceptible,n_exposed,n_infectious,n_diagnosed,n_recovered,n_dead
99980.0,20.0,0.0,0.0,0.0,0.0
99980.0,20.0,0.0,0.0,0.0,0.0
99980.0,20.0,0.0,0.0,0.0,0.0
99977.0,17.0,7.0,0.0,0.0,0.0
99970.0,17.0,14.0,0.0,0.0,0.0
99964.0,18.0,19.0,0.0,0.0,0.0
99958.0,21.0,22.0,0.0,0.0,0.0
99953.0,23.0,25.0,0.0,0.0,0.0
99945.0,27.0,29.0,0.0,0.0,0.0
99934.0,33.0,33.0,0.0,1.0,0.0
99924.0,38.0,35.0,1.0,4.0,0.0
99913.0,43.0,37.0,1.0,8.0,0.0
99899.0,48.0,41.0,1.0,12.0,0.0
99881.0,57.0,47.0,1.0,15.0,0.0
99863.0,64.0,54.0,1.0,19.0,0.0
99841.0,76.0,60.0,1.0,23.0,0.0
99818.0,87.0,70.0,2.0,25.0,0.0
99788.0,99.0,82.0,2.0,30.0,0.0
99754.0,117.0,92.0,3.0,35.0,0.0
99712.0,138.0,108.0,3.0,41.0,0.0
99667.0,159.0,122.0,4.0,49.0,0.0
99614.0,183.0,144.0,4.0,56.0,0.0
99550.0,215.0,167.0,4.0,66.0,0.0
99474.0,253.0,193.0,5.0,76.0,0.0
99397.0,284.0,225.0,6.0,90.0,0.0
99308.0,318.0,267.0,6.0,102.0,0.0
99201.0,369.0,304.0,8.0,119.0,0.0
99068.0,437.0,351.0,9.0,137.0,0.0
98917.0,509.0,406.0,10.0,159.0,1.0
98763.0,579.0,464.0,12.0,184.0,1.0
98563.0,672.0,541.0,14.0,212.0,1.0
98334.0,783.0,624.0,17.0,244.0,1.0
98068.0,908.0,719.0,20.0,286.0,1.0
97759.0,1057.0,830.0,23.0,332.0,1.0
97397.0,1234.0,961.0,26.0,384.0,1.0
96987.0,1434.0,1105.0,30.0,445.0,1.0
96490.0,1672.0,1285.0,35.0,519.0,1.0
95939.0,1931.0,1492.0,40.0,599.0,1.0
95288.0,2238.0,1736.0,47.0,691.0,1.0
94549.0,2583.0,2017.0,55.0,796.0,1.0
93702.0,2966.0,2346.0,64.0,922.0,2.0
92748.0,3382.0,2738.0,73.0,1059.0,2.0
91642.0,3864.0,3176.0,86.0,1232.0,2.0
90401.0,4409.0,3668.0,99.0,1423.0,2.0
89000.0,5009.0,4225.0,114.0,1651.0,3.0
87416.0,5704.0,4828.0,131.0,1919.0,3.0
85663.0,6419.0,5537.0,152.0,2227.0,4.0
83719.0,7179.0,6345.0,178.0,2578.0,4.0
81552.0,7991.0,7264.0,208.0,2982.0,4.0
79151.0,8882.0,8272.0,236.0,3456.0,5.0
76539.0,9828.0,9354.0,271.0,4004.0,6.0
73750.0,10741.0,10564.0,311.0,4629.0,7.0
70740.0,11666.0,11878.0,360.0,5349.0,8.0
67543.0,12585.0,13280.0,409.0,6175.0,10.0
64272.0,13349.0,14808.0,463.0,7099.0,11.0
60893.0,14051.0,16371.0,528.0,8146.0,13.0
57454.0,14597.0,17993.0,598.0,9345.0,15.0
53985.0,14994.0,19640.0,674.0,10692.0,17.0
50527.0,15250.0,21256.0,764.0,12186.0,19.0
47130.0,15359.0,22757.0,853.0,13880.0,22.0
43871.0,15259.0,24153.0,952.0,15741.0,26.0
40728.0,14984.0,25391.0,1054.0,17815.0,30.0
37757.0,14536.0,26444.0,1166.0,20065.0,33.0
34995.0,13900.0,27292.0,1289.0,22488.0,37.0
32417.0,13179.0,27860.0,1405.0,25098.0,43.0
30078.0,12375.0,28140.0,1527.0,27834.0,48.0
27917.0,11477.0,28171.0,1650.0,30733.0,54.0
25996.0,10547.0,27842.0,1776.0,33780.0,61.0
24265.0,9621.0,27258.0,1881.0,36909.0,68.0
22721.0,8734.0,26399.0,1996.0,40076.0,76.0
21344.0,7887.0,25343.0,2103.0,43241.0,84.0
20141.0,7037.0,24101.0,2195.0,46432.0,95.0
19081.0,6251.0,22711.0,2274.0,49576.0,108.0
18161.0,5509.0,21176.0,2339.0,52697.0,120.0
17351.0,4858.0,19575.0,2392.0,55692.0,134.0
16652.0,4257.0,18001.0,2426.0,58519.0,147.0
16058.0,3706.0,16377.0,2450.0,61250.0,161.0
15537.0,3213.0,14836.0,2455.0,63786.0,174.0
15087.0,2802.0,13337.0,2441.0,66146.0,189.0
14698.0,2427.0,11934.0,2420.0,68319.0,204.0
14361.0,2098.0,10610.0,2376.0,70338.0,219.0
14068.0,1812.0,9409.0,2328.0,72151.0,234.0
13820.0,1563.0,8303.0,2264.0,73802.0,249.0
13611.0,1343.0,7289.0,2187.0,75310.0,262.0
13426.0,1157.0,6387.0,2106.0,76649.0,277.0
13270.0,991.0,5573.0,2019.0,77858.0,290.0
13136.0,857.0,4834.0,1929.0,78943.0,304.0
13020.0,734.0,4206.0,1830.0,79894.0,318.0
12921.0,630.0,3644.0,1730.0,80746.0,331.0
12839.0,533.0,3162.0,1621.0,81503.0,344.0
12770.0,455.0,2708.0,1520.0,82194.0,355.0
12713.0,388.0,2325.0,1422.0,82787.0,366.0
12661.0,335.0,2002.0,1326.0,83301.0,378.0
12617.0,285.0,1727.0,1227.0,83756.0,389.0
12580.0,243.0,1494.0,1128.0,84158.0,399.0
12552.0,202.0,1284.0,1033.0,84525.0,406.0
12524.0,171.0,1101.0,947.0,84846.0,413.0
12495.0,149.0,942.0,871.0,85125.0,420.0
12475.0,131.0,803.0,793.0,85373.0,426.0
12458.0,115.0,682.0,720.0,85594.0,433.0
12442.0,99.0,588.0,661.0,85775.0,437.0
12427.0,86.0,502.0,600.0,85946.0,441.0
12415.0,75.0,431.0,544.0,86092.0,445.0
12408.0,62.0,368.0,490.0,86225.0,449.0
12399.0,54.0,316.0,439.0,86341.0,453.0
12392.0,44.0,273.0,396.0,86440.0,457.0
12386.0,39.0,237.0,353.0,86528.0,460.0
12380.0,34.0,205.0,314.0,86607.0,462.0
12376.0,30.0,177.0,281.0,86675.0,464.0
12372.0,24.0,155.0,249.0,86736.0,466.0
12368.0,21.0,131.0,221.0,86792.0,468.0
12366.0,18.0,115.0,191.0,86842.0,470.0
12364.0,15.0,98.0,171.0,86882.0,471.0
12362.0,13.0,84.0,151.0,86919.0,473.0
12361.0,11.0,72.0,131.0,86954.0,473.0
12358.0,10.0,62.0,115.0,86983.0,474.0
12357.0,8.0,54.0,102.0,87006.0,475.0
12357.0,7.0,45.0,90.0,87028.0,475.0
12356.0,6.0,38.0,79.0,87047.0,475.0
12355.0,5.0,34.0,68.0,87064.0,476.0
